SessionID,UserID,DeviceType,Country,ReferralSource,session_start_time,session_end_time,session_duration_minutes,Purchased,home_flag,product_flag,cart_flag,checkout_flag,confirmation_flag,total_time_on_page_seconds,max_items_in_cart
session_27,user_1310,Mobile,Australia,Email,"2025-03-19 23:40:45","2025-03-19 23:40:45",0,0,1,0,0,0,0,131,0
session_28,user_1758,Mobile,Germany,Google,"2025-08-26 05:06:48","2025-08-26 05:06:48",0,0,1,0,0,0,0,141,0
session_29,user_2181,Tablet,India,"Social Media","2025-04-12 13:30:44","2025-04-12 13:32:47",2,0,1,1,0,0,0,259,0
session_30,user_1114,Tablet,France,"Social Media","2025-08-10 18:55:46","2025-08-10 18:58:07",2,0,1,1,0,0,0,249,1
session_31,user_2282,Mobile,Germany,Email,"2025-04-22 07:00:23","2025-04-22 07:01:10",0,0,1,1,0,0,0,162,4
session_32,user_1995,Desktop,Germany,Email,"2025-08-09 19:10:33","2025-08-09 19:10:33",0,0,1,0,0,0,0,35,0
session_33,user_1580,Desktop,UK,Direct,"2025-07-07 00:26:21","2025-07-07 00:28:29",2,0,1,1,0,0,0,183,5
session_34,user_1912,Tablet,USA,Google,"2025-08-09 14:02:55","2025-08-09 14:10:56",8,1,1,1,1,1,1,565,1
session_35,user_2872,Mobile,USA,"Social Media","2025-06-23 22:52:19","2025-06-23 22:53:52",1,0,1,1,0,0,0,212,0
session_36,user_1983,Tablet,Canada,Direct,"2025-07-12 08:13:47","2025-07-12 08:15:48",2,0,1,1,0,0,0,284,2
session_37,user_1099,Mobile,Australia,Direct,"2025-03-21 12:20:03","2025-03-21 12:26:09",6,0,1,1,1,1,0,485,1
session_38,user_1563,Desktop,Germany,Google,"2025-05-02 01:18:12","2025-05-02 01:18:12",0,0,1,0,0,0,0,148,0
session_39,user_1524,Desktop,India,Google,"2025-05-30 00:12:04","2025-05-30 00:15:54",3,1,1,1,1,1,1,403,3
session_40,user_1626,Tablet,UK,Direct,"2025-02-18 11:25:39","2025-02-18 11:29:09",3,0,1,1,1,1,0,372,4
session_41,user_2521,Desktop,India,"Social Media","2025-05-21 01:00:06","2025-05-21 01:00:06",0,0,1,0,0,0,0,166,0
session_42,user_1086,Desktop,Australia,"Social Media","2025-04-05 02:30:40","2025-04-05 02:30:40",0,0,1,0,0,0,0,94,0
session_43,user_1200,Desktop,UK,Google,"2025-05-04 23:24:28","2025-05-04 23:27:25",2,0,1,1,0,0,0,291,4
session_44,user_1390,Desktop,Australia,Email,"2025-03-10 08:18:17","2025-03-10 08:18:17",0,0,1,0,0,0,0,39,0
session_45,user_1121,Mobile,USA,Google,"2025-08-07 00:20:02","2025-08-07 00:20:02",0,0,1,0,0,0,0,25,0
session_46,user_2865,Mobile,Germany,"Social Media","2025-07-11 01:55:27","2025-07-11 01:55:27",0,0,1,0,0,0,0,80,0
session_47,user_2673,Desktop,UK,Email,"2025-04-13 09:15:08","2025-04-13 09:23:05",7,1,1,1,1,1,1,509,1
session_48,user_1035,Desktop,Australia,"Social Media","2025-02-04 00:57:05","2025-02-04 00:57:51",0,0,1,1,0,0,0,198,2
session_49,user_1439,Tablet,USA,Email,"2025-06-04 19:27:55","2025-06-04 19:33:47",5,1,1,1,1,1,1,476,2
session_50,user_1609,Mobile,UK,Direct,"2025-06-27 16:43:33","2025-06-27 16:45:51",2,0,1,1,0,0,0,267,0
session_51,user_2808,Desktop,France,"Social Media","2025-08-21 18:07:50","2025-08-21 18:15:51",8,1,1,1,1,1,1,563,5
session_52,user_1532,Tablet,Canada,"Social Media","2025-06-09 14:55:06","2025-06-09 14:57:09",2,0,1,1,0,0,0,229,0
session_53,user_2816,Desktop,India,Email,"2025-01-24 13:06:02","2025-01-24 13:06:02",0,0,1,0,0,0,0,19,0
session_54,user_1856,Desktop,India,Email,"2025-07-15 22:13:28","2025-07-15 22:13:54",0,0,1,1,0,0,0,172,4
session_55,user_2771,Tablet,UK,Google,"2025-02-18 14:01:18","2025-02-18 14:02:18",1,0,1,1,0,0,0,126,0
session_56,user_1425,Tablet,USA,Direct,"2025-03-17 06:59:07","2025-03-17 07:00:27",1,0,1,1,0,0,0,159,4
session_57,user_1979,Mobile,Germany,"Social Media","2025-06-03 13:56:17","2025-06-03 14:00:29",4,1,1,1,1,1,1,399,2
session_58,user_2596,Mobile,UK,Email,"2025-02-16 17:27:17","2025-02-16 17:27:17",0,0,1,0,0,0,0,94,0
session_59,user_2950,Desktop,Australia,Email,"2025-07-10 21:44:11","2025-07-10 21:47:02",2,0,1,1,0,0,0,240,0
session_60,user_2486,Desktop,USA,Email,"2025-05-09 13:10:09","2025-05-09 13:10:09",0,0,1,0,0,0,0,128,0
session_61,user_1519,Desktop,Germany,"Social Media","2025-03-01 18:53:35","2025-03-01 18:54:47",1,0,1,1,0,0,0,205,2
session_62,user_2282,Desktop,Germany,Email,"2025-08-30 13:35:34","2025-08-30 13:36:52",1,0,1,1,0,0,0,109,2
session_63,user_2012,Desktop,India,"Social Media","2025-08-14 15:12:15","2025-08-14 15:16:56",4,1,1,1,1,1,1,415,5
session_64,user_1412,Tablet,Canada,Direct,"2025-01-06 22:18:14","2025-01-06 22:19:18",1,0,1,1,1,0,0,144,0
session_65,user_2277,Tablet,India,Google,"2025-03-05 19:49:12","2025-03-05 19:57:16",8,1,1,1,1,1,1,637,1
session_66,user_2279,Mobile,UK,"Social Media","2025-03-17 04:23:43","2025-03-17 04:24:58",1,0,1,1,0,0,0,144,2
session_67,user_2199,Mobile,UK,Direct,"2025-05-20 22:42:31","2025-05-20 22:43:57",1,0,1,1,0,0,0,130,4
session_68,user_2502,Desktop,Germany,"Social Media","2025-02-02 23:11:17","2025-02-02 23:15:25",4,1,1,1,1,1,1,265,2
session_69,user_2266,Mobile,France,"Social Media","2025-08-07 15:18:08","2025-08-07 15:20:32",2,0,1,1,0,0,0,171,0
session_70,user_2567,Tablet,Australia,Email,"2025-02-27 02:03:59","2025-02-27 02:09:33",5,1,1,1,1,1,1,362,5
session_71,user_2262,Mobile,Canada,"Social Media","2025-02-03 02:46:00","2025-02-03 02:49:59",3,1,1,1,1,1,1,293,3
session_72,user_1285,Desktop,France,Direct,"2025-06-14 11:02:04","2025-06-14 11:09:54",7,1,1,1,1,1,1,619,2
session_73,user_2436,Desktop,Germany,Email,"2025-01-15 00:15:21","2025-01-15 00:17:12",1,0,1,1,0,0,0,211,0
session_74,user_2826,Mobile,Germany,Google,"2025-03-13 16:04:05","2025-03-13 16:06:55",2,0,1,1,0,0,0,247,0
session_75,user_1091,Desktop,Canada,Email,"2025-03-11 08:11:01","2025-03-11 08:11:01",0,0,1,0,0,0,0,139,0
session_76,user_2594,Desktop,USA,Email,"2025-08-24 23:07:24","2025-08-24 23:07:24",0,0,1,0,0,0,0,131,0
session_77,user_1718,Mobile,Australia,"Social Media","2025-06-26 15:44:59","2025-06-26 15:47:10",2,0,1,1,0,0,0,168,0
session_78,user_1621,Mobile,USA,"Social Media","2025-08-01 08:20:58","2025-08-01 08:23:06",2,0,1,1,0,0,0,292,2
session_79,user_2810,Desktop,Canada,"Social Media","2025-07-13 02:29:02","2025-07-13 02:30:04",1,0,1,1,0,0,0,213,4
session_80,user_2022,Mobile,Australia,"Social Media","2025-03-12 13:18:44","2025-03-12 13:19:57",1,0,1,1,0,0,0,194,1
session_81,user_2467,Desktop,Germany,Direct,"2025-01-10 01:15:25","2025-01-10 01:15:55",0,0,1,1,0,0,0,138,0
session_82,user_1453,Mobile,France,Google,"2025-01-24 22:09:59","2025-01-24 22:12:46",2,0,1,1,0,0,0,346,0
session_83,user_1577,Tablet,Australia,Direct,"2025-08-01 15:43:00","2025-08-01 15:44:12",1,0,1,1,1,0,0,186,4
session_84,user_1264,Desktop,France,Email,"2025-04-19 11:59:52","2025-04-19 12:02:59",3,1,1,1,1,1,1,319,5
session_85,user_1202,Mobile,USA,Email,"2025-05-09 07:33:46","2025-05-09 07:34:40",0,0,1,1,0,0,0,94,5
session_86,user_1961,Mobile,India,Direct,"2025-07-31 15:29:10","2025-07-31 15:30:13",1,0,1,1,0,0,0,229,3
session_87,user_1343,Tablet,India,Email,"2025-07-17 04:23:56","2025-07-17 04:26:41",2,0,1,1,0,0,0,221,2
session_88,user_2109,Desktop,France,"Social Media","2025-04-29 10:09:31","2025-04-29 10:11:02",1,0,1,1,1,0,0,254,2
session_89,user_1300,Mobile,France,Direct,"2025-03-21 17:21:03","2025-03-21 17:29:01",7,1,1,1,1,1,1,552,1
session_90,user_2621,Tablet,Germany,Google,"2025-06-22 16:00:12","2025-06-22 16:05:07",4,0,1,1,1,0,0,323,5
session_91,user_2705,Desktop,France,"Social Media","2025-02-20 19:25:41","2025-02-20 19:25:41",0,0,1,0,0,0,0,116,0
session_92,user_2740,Mobile,UK,Email,"2025-01-30 07:01:49","2025-01-30 07:04:24",2,0,1,1,1,0,0,172,2
session_93,user_2540,Desktop,India,Google,"2025-01-16 17:17:05","2025-01-16 17:25:27",8,1,1,1,1,1,1,557,1
session_94,user_1022,Mobile,Germany,Google,"2025-01-19 20:17:08","2025-01-19 20:17:08",0,0,1,0,0,0,0,142,0
session_95,user_2381,Mobile,Australia,Direct,"2025-03-03 09:26:35","2025-03-03 09:28:33",1,0,1,1,0,0,0,254,4
session_96,user_2993,Desktop,Australia,Google,"2025-03-07 01:58:20","2025-03-07 01:59:39",1,0,1,1,1,0,0,188,3
session_97,user_2713,Tablet,Germany,Email,"2025-01-01 20:58:48","2025-01-01 20:59:16",0,0,1,1,0,0,0,118,2
session_98,user_1729,Tablet,Canada,"Social Media","2025-03-22 04:55:19","2025-03-22 04:57:31",2,0,1,1,1,0,0,226,1
session_99,user_2300,Mobile,USA,Direct,"2025-08-18 05:49:00","2025-08-18 05:55:15",6,1,1,1,1,1,1,493,4
session_100,user_1233,Desktop,USA,Email,"2025-04-02 11:24:36","2025-04-02 11:25:41",1,0,1,1,0,0,0,101,1
session_101,user_1984,Mobile,France,Direct,"2025-04-14 06:47:08","2025-04-14 06:54:24",7,1,1,1,1,1,1,564,2
session_102,user_1480,Desktop,Australia,Direct,"2025-02-12 23:06:34","2025-02-12 23:08:57",2,0,1,1,0,0,0,212,0
session_103,user_2791,Desktop,France,"Social Media","2025-01-10 20:14:17","2025-01-10 20:15:15",0,0,1,1,0,0,0,148,3
session_104,user_2754,Tablet,UK,"Social Media","2025-07-22 13:46:16","2025-07-22 13:46:55",0,0,1,1,0,0,0,54,4
session_105,user_2525,Mobile,Canada,"Social Media","2025-02-28 20:54:48","2025-02-28 20:57:01",2,0,1,1,0,0,0,199,2
session_106,user_1524,Desktop,UK,Google,"2025-01-26 20:08:51","2025-01-26 20:09:57",1,0,1,1,0,0,0,205,1
session_107,user_2173,Mobile,UK,Email,"2025-01-02 05:30:07","2025-01-02 05:30:37",0,0,1,1,0,0,0,45,0
session_108,user_2167,Mobile,Canada,Email,"2025-02-21 13:57:38","2025-02-21 13:58:28",0,0,1,1,0,0,0,97,5
session_109,user_1774,Mobile,Canada,Google,"2025-07-30 14:11:29","2025-07-30 14:17:56",6,1,1,1,1,1,1,536,2
session_110,user_2713,Tablet,Canada,Direct,"2025-01-30 08:29:05","2025-01-30 08:34:15",5,1,1,1,1,1,1,345,3
session_111,user_2430,Desktop,Germany,Email,"2025-08-27 10:04:00","2025-08-27 10:05:11",1,0,1,1,0,0,0,116,0
session_112,user_2488,Tablet,Canada,"Social Media","2025-06-22 06:14:23","2025-06-22 06:15:35",1,0,1,1,0,0,0,201,3
session_113,user_1030,Tablet,UK,Email,"2025-01-24 01:46:09","2025-01-24 01:48:10",2,0,1,1,0,0,0,142,4
session_114,user_2803,Mobile,Germany,Email,"2025-03-07 16:44:46","2025-03-07 16:45:08",0,0,1,1,0,0,0,101,0
session_115,user_2619,Tablet,UK,Direct,"2025-04-17 22:20:10","2025-04-17 22:21:16",1,0,1,1,0,0,0,146,4
session_116,user_1385,Tablet,Germany,Email,"2025-08-09 08:34:48","2025-08-09 08:35:32",0,0,1,1,0,0,0,206,0
session_117,user_1679,Tablet,UK,"Social Media","2025-05-04 20:49:01","2025-05-04 20:51:51",2,0,1,1,0,0,0,309,0
session_118,user_2114,Mobile,USA,Direct,"2025-02-10 09:54:26","2025-02-10 09:57:17",2,0,1,1,0,0,0,210,0
session_119,user_2996,Tablet,UK,"Social Media","2025-08-06 05:01:41","2025-08-06 05:12:01",10,1,1,1,1,1,1,739,5
session_120,user_1976,Mobile,Germany,"Social Media","2025-07-04 20:22:01","2025-07-04 20:30:36",8,1,1,1,1,1,1,641,1
session_121,user_2762,Tablet,Germany,Email,"2025-03-22 20:52:08","2025-03-22 20:54:23",2,0,1,1,1,0,0,303,1
session_122,user_2875,Desktop,UK,Google,"2025-04-14 17:49:42","2025-04-14 17:50:24",0,0,1,1,0,0,0,200,5
session_123,user_2142,Mobile,Canada,"Social Media","2025-05-31 18:23:17","2025-05-31 18:23:39",0,0,1,1,0,0,0,65,0
session_124,user_1156,Desktop,Germany,"Social Media","2025-07-10 12:27:01","2025-07-10 12:33:47",6,1,1,1,1,1,1,451,2
session_125,user_1471,Tablet,India,Email,"2025-04-16 21:41:55","2025-04-16 21:43:54",1,0,1,1,0,0,0,248,3
session_126,user_2713,Mobile,USA,Direct,"2025-04-04 21:24:43","2025-04-04 21:24:43",0,0,1,0,0,0,0,76,0
session_127,user_2168,Tablet,India,Email,"2025-07-02 12:04:14","2025-07-02 12:09:54",5,0,1,1,1,0,0,430,2
session_128,user_2126,Desktop,UK,Direct,"2025-06-09 20:30:32","2025-06-09 20:33:58",3,1,1,1,1,1,1,263,3
session_129,user_2755,Desktop,UK,Direct,"2025-04-11 17:04:06","2025-04-11 17:05:01",0,0,1,1,0,0,0,221,0
session_130,user_1595,Desktop,Germany,"Social Media","2025-03-24 20:29:41","2025-03-24 20:35:36",5,1,1,1,1,1,1,512,4
session_131,user_2498,Tablet,France,"Social Media","2025-03-03 18:27:07","2025-03-03 18:28:12",1,0,1,1,0,0,0,116,3
session_132,user_1515,Mobile,Canada,Direct,"2025-03-06 23:58:12","2025-03-06 23:58:12",0,0,1,0,0,0,0,150,0
session_133,user_2286,Tablet,UK,Email,"2025-04-11 04:38:11","2025-04-11 04:39:50",1,0,1,1,0,0,0,165,0
session_134,user_1372,Tablet,France,Email,"2025-03-18 14:12:14","2025-03-18 14:14:27",2,0,1,1,0,0,0,260,2
session_135,user_1510,Mobile,India,Google,"2025-04-08 05:48:29","2025-04-08 05:52:26",3,0,1,1,1,1,0,293,3
session_136,user_1390,Mobile,Canada,"Social Media","2025-03-15 10:09:41","2025-03-15 10:11:23",1,0,1,1,0,0,0,282,5
session_137,user_1263,Tablet,India,"Social Media","2025-03-31 15:09:39","2025-03-31 15:10:01",0,0,1,1,0,0,0,153,0
session_138,user_2168,Tablet,USA,Google,"2025-07-19 22:50:50","2025-07-19 22:59:03",8,1,1,1,1,1,1,585,2
session_139,user_2866,Mobile,Canada,Email,"2025-03-15 14:00:00","2025-03-15 14:01:38",1,0,1,1,0,0,0,222,1
session_140,user_2010,Desktop,Canada,Google,"2025-04-17 17:37:40","2025-04-17 17:40:52",3,0,1,1,1,0,0,255,1
session_141,user_1643,Mobile,Australia,Email,"2025-06-09 06:55:12","2025-06-09 06:57:35",2,0,1,1,0,0,0,210,0
session_142,user_1473,Desktop,UK,Google,"2025-05-03 06:26:48","2025-05-03 06:28:49",2,0,1,1,0,0,0,259,3
session_143,user_1073,Mobile,France,Direct,"2025-07-22 22:17:32","2025-07-22 22:20:06",2,0,1,1,0,0,0,179,0
session_144,user_1460,Tablet,USA,Direct,"2025-03-25 18:38:49","2025-03-25 18:40:52",2,0,1,1,0,0,0,168,0
session_145,user_2149,Desktop,USA,Direct,"2025-08-04 13:59:38","2025-08-04 14:08:55",9,1,1,1,1,1,1,737,2
session_146,user_2698,Tablet,USA,Google,"2025-02-09 13:19:12","2025-02-09 13:22:05",2,0,1,1,0,0,0,217,4
session_147,user_1546,Mobile,Australia,Google,"2025-08-11 06:00:33","2025-08-11 06:06:44",6,1,1,1,1,1,1,512,3
session_148,user_1093,Tablet,France,Email,"2025-05-09 12:32:45","2025-05-09 12:37:44",4,1,1,1,1,1,1,325,3
session_149,user_1181,Mobile,Germany,Direct,"2025-03-14 16:27:55","2025-03-14 16:27:55",0,0,1,0,0,0,0,41,0
session_150,user_1873,Tablet,India,Email,"2025-03-13 04:31:52","2025-03-13 04:31:52",0,0,1,0,0,0,0,46,0
session_151,user_1511,Mobile,India,Email,"2025-02-04 18:21:30","2025-02-04 18:26:02",4,0,1,1,1,1,0,292,2
session_152,user_2321,Tablet,Germany,Email,"2025-08-15 21:26:35","2025-08-15 21:28:45",2,0,1,1,0,0,0,275,0
session_153,user_1412,Desktop,France,Google,"2025-07-23 09:50:33","2025-07-23 09:51:29",0,0,1,1,0,0,0,134,0
session_154,user_1963,Desktop,UK,Email,"2025-03-24 20:31:29","2025-03-24 20:31:29",0,0,1,0,0,0,0,81,0
session_155,user_2609,Desktop,Canada,Email,"2025-05-02 23:51:52","2025-05-02 23:55:10",3,0,1,1,1,0,0,280,4
session_156,user_1498,Mobile,France,Google,"2025-06-18 02:09:46","2025-06-18 02:16:55",7,1,1,1,1,1,1,588,4
session_157,user_1874,Mobile,France,Direct,"2025-03-24 09:24:46","2025-03-24 09:26:58",2,0,1,1,0,0,0,236,3
session_158,user_1160,Desktop,UK,Direct,"2025-07-10 07:31:11","2025-07-10 07:33:26",2,0,1,1,1,0,0,266,5
session_159,user_2712,Desktop,Australia,Direct,"2025-07-23 21:07:05","2025-07-23 21:07:05",0,0,1,0,0,0,0,55,0
session_160,user_1042,Mobile,France,Email,"2025-06-09 21:48:37","2025-06-09 21:52:18",3,0,1,1,1,1,0,335,1
session_161,user_1904,Mobile,UK,"Social Media","2025-08-20 21:44:47","2025-08-20 21:46:00",1,0,1,1,0,0,0,203,0
session_162,user_1674,Tablet,Australia,Email,"2025-08-30 23:26:35","2025-08-30 23:32:13",5,1,1,1,1,1,1,416,2
session_163,user_2237,Mobile,France,Google,"2025-02-23 19:38:10","2025-02-23 19:41:44",3,1,1,1,1,1,1,279,4
session_164,user_2015,Tablet,Canada,Google,"2025-05-16 18:38:23","2025-05-16 18:43:13",4,0,1,1,1,0,0,435,1
session_165,user_1133,Mobile,France,Google,"2025-01-27 08:53:51","2025-01-27 08:54:26",0,0,1,1,0,0,0,99,0
session_166,user_2737,Tablet,France,Direct,"2025-07-31 13:30:11","2025-07-31 13:31:03",0,0,1,1,0,0,0,89,5
session_167,user_2987,Tablet,France,Email,"2025-02-27 23:29:10","2025-02-27 23:31:09",1,0,1,1,0,0,0,291,0
session_168,user_1841,Desktop,Germany,Direct,"2025-02-16 02:42:06","2025-02-16 02:48:33",6,1,1,1,1,1,1,404,2
session_169,user_1759,Desktop,Germany,Google,"2025-08-02 10:09:12","2025-08-02 10:11:23",2,0,1,1,1,0,0,237,2
session_170,user_1692,Mobile,USA,Direct,"2025-05-21 09:07:02","2025-05-21 09:09:19",2,0,1,1,1,0,0,257,3
session_171,user_2076,Desktop,USA,Email,"2025-03-18 19:36:04","2025-03-18 19:37:14",1,0,1,1,0,0,0,113,0
session_172,user_1172,Desktop,Australia,Direct,"2025-08-31 18:34:39","2025-08-31 18:35:01",0,0,1,1,0,0,0,77,0
session_173,user_1705,Desktop,USA,Email,"2025-04-27 22:10:33","2025-04-27 22:10:53",0,0,1,1,0,0,0,112,0
session_174,user_1425,Desktop,France,Direct,"2025-02-11 08:30:31","2025-02-11 08:31:39",1,0,1,1,0,0,0,200,0
session_175,user_2255,Desktop,Germany,Direct,"2025-03-09 20:26:56","2025-03-09 20:26:56",0,0,1,0,0,0,0,105,0
session_176,user_1997,Desktop,France,Email,"2025-08-19 16:43:10","2025-08-19 16:43:10",0,0,1,0,0,0,0,94,0
session_177,user_2361,Desktop,Canada,Google,"2025-07-27 21:49:41","2025-07-27 21:49:41",0,0,1,0,0,0,0,38,0
session_178,user_1627,Tablet,UK,Direct,"2025-07-03 14:55:04","2025-07-03 15:03:01",7,1,1,1,1,1,1,657,1
session_179,user_2067,Mobile,Australia,Google,"2025-08-22 08:20:48","2025-08-22 08:21:10",0,0,1,1,0,0,0,80,2
session_180,user_2326,Desktop,UK,Email,"2025-07-06 05:57:25","2025-07-06 06:02:08",4,0,1,1,1,0,0,315,0
session_181,user_2838,Tablet,UK,Google,"2025-04-15 07:30:46","2025-04-15 07:31:43",0,0,1,1,0,0,0,95,1
session_182,user_1127,Desktop,India,"Social Media","2025-03-06 05:06:40","2025-03-06 05:06:40",0,0,1,0,0,0,0,40,0
session_183,user_1087,Desktop,India,Google,"2025-03-07 01:57:51","2025-03-07 01:58:35",0,0,1,1,0,0,0,169,1
session_184,user_1954,Tablet,USA,Email,"2025-05-22 10:59:23","2025-05-22 10:59:23",0,0,1,0,0,0,0,177,0
session_185,user_1012,Tablet,UK,Direct,"2025-08-05 20:29:27","2025-08-05 20:29:27",0,0,1,0,0,0,0,64,0
session_186,user_1774,Tablet,Canada,Email,"2025-03-26 22:42:00","2025-03-26 22:42:34",0,0,1,1,0,0,0,56,0
session_187,user_2956,Tablet,Australia,Email,"2025-07-06 01:21:13","2025-07-06 01:22:41",1,0,1,1,0,0,0,242,0
session_188,user_1525,Mobile,Canada,Direct,"2025-06-24 10:26:57","2025-06-24 10:37:02",10,1,1,1,1,1,1,651,1
session_189,user_2269,Mobile,India,"Social Media","2025-07-13 06:34:25","2025-07-13 06:40:50",6,1,1,1,1,1,1,543,2
session_190,user_1842,Desktop,UK,Direct,"2025-05-31 10:27:31","2025-05-31 10:27:31",0,0,1,0,0,0,0,119,0
session_191,user_1501,Mobile,USA,"Social Media","2025-02-07 21:14:28","2025-02-07 21:14:56",0,0,1,1,0,0,0,70,3
session_192,user_2116,Tablet,France,Google,"2025-05-29 02:00:37","2025-05-29 02:01:34",0,0,1,1,0,0,0,91,1
session_193,user_2748,Mobile,India,Email,"2025-04-27 20:55:20","2025-04-27 20:57:47",2,0,1,1,0,0,0,219,3
session_194,user_1566,Mobile,Australia,"Social Media","2025-05-27 14:04:02","2025-05-27 14:04:02",0,0,1,0,0,0,0,51,0
session_195,user_1535,Desktop,Germany,"Social Media","2025-05-24 11:16:58","2025-05-24 11:19:47",2,0,1,1,0,0,0,245,0
session_196,user_2277,Tablet,USA,Direct,"2025-08-09 18:41:48","2025-08-09 18:42:52",1,0,1,1,0,0,0,152,5
session_197,user_1571,Mobile,UK,"Social Media","2025-04-07 23:24:28","2025-04-07 23:27:27",2,0,1,1,0,0,0,257,4
session_198,user_1035,Tablet,Germany,Email,"2025-05-11 22:02:11","2025-05-11 22:07:15",5,0,1,1,1,0,0,423,0
session_199,user_2119,Tablet,Australia,Google,"2025-01-09 19:56:59","2025-01-09 19:57:18",0,0,1,1,0,0,0,108,2
session_200,user_1823,Desktop,France,Email,"2025-03-29 12:58:29","2025-03-29 13:03:01",4,1,1,1,1,1,1,387,2
session_201,user_1028,Desktop,USA,Google,"2025-08-05 16:07:49","2025-08-05 16:13:37",5,1,1,1,1,1,1,413,1
session_202,user_1580,Tablet,India,Google,"2025-01-20 15:40:21","2025-01-20 15:46:26",6,1,1,1,1,1,1,484,2
session_203,user_1787,Mobile,Canada,"Social Media","2025-07-24 16:52:43","2025-07-24 16:56:28",3,0,1,1,1,0,0,255,4
session_204,user_1062,Mobile,Australia,Google,"2025-03-29 00:36:13","2025-03-29 00:44:09",7,1,1,1,1,1,1,639,3
session_205,user_2037,Mobile,France,"Social Media","2025-06-18 22:04:46","2025-06-18 22:11:18",6,1,1,1,1,1,1,450,1
session_206,user_2902,Mobile,Canada,Email,"2025-07-12 05:15:38","2025-07-12 05:19:04",3,0,1,1,1,0,0,329,1
session_207,user_2678,Tablet,India,Google,"2025-03-31 03:17:45","2025-03-31 03:20:41",2,0,1,1,0,0,0,334,3
session_208,user_2344,Tablet,UK,"Social Media","2025-03-26 21:22:38","2025-03-26 21:24:26",1,0,1,1,0,0,0,279,5
